basket_id,customer_id,zone_code,ts_local,items,amount_aed,daypart,sample
B0000000,C00653,DXB-MOE,2025-09-07T08:00,2,56.0,morning,1
B0000001,C00979,DXB-MAR,2025-09-07T08:00,2,58.0,morning,1
B0000002,C01333,DXB-MAR,2025-09-07T08:00,2,44.0,morning,1
B0000003,C00543,DXB-DEI,2025-09-07T08:00,2,64.0,morning,1
B0000004,C00570,DXB-DEI,2025-09-07T09:00,1,18.0,morning,1
B0000005,C00922,DXB-MOE,2025-09-07T10:00,2,36.0,morning,1
B0000006,C00495,DXB-MOE,2025-09-07T10:00,1,24.0,morning,1
B0000007,C01024,DXB-DEI,2025-09-07T10:00,4,88.0,morning,1
B0000008,C00495,DXB-DTN,2025-09-07T11:00,3,74.0,midday,1
B0000009,C00780,DXB-DTN,2025-09-07T11:00,2,58.0,midday,1
B0000010,C00759,DXB-DTN,2025-09-07T11:00,2,42.0,midday,1
B0000011,C00215,DXB-MOE,2025-09-07T11:00,1,24.0,midday,1
B0000012,C00495,DXB-DEI,2025-09-07T12:00,1,32.0,midday,1
B0000013,C01712,DXB-DTN,2025-09-07T14:00,1,24.0,midday,1
B0000014,C01473,DXB-DEI,2025-09-07T15:00,2,48.0,midday,1
B0000015,C00493,DXB-MAR,2025-09-07T16:00,3,68.0,midday,1
B0000016,C00928,DXB-DTN,2025-09-07T17:00,2,52.0,evening,1
B0000017,C01238,DXB-MOE,2025-09-07T18:00,2,50.0,evening,1
B0000018,C02248,DXB-MOE,2025-09-07T20:00,2,44.0,evening,1
B0000019,C01856,DXB-MAR,2025-09-07T21:00,1,26.0,evening,1
B0000020,C01047,DXB-MAR,2025-09-07T23:00,1,26.0,evening,1
B0000021,C00745,DXB-DEI,2025-09-08T06:00,4,100.0,morning,1
B0000022,C00979,DXB-DTN,2025-09-08T08:00,2,44.0,morning,1
B0000023,C00429,DXB-DTN,2025-09-08T09:00,2,58.0,morning,1
B0000024,C00193,DXB-DTN,2025-09-08T09:00,2,50.0,morning,1
B0000025,C00842,DXB-MOE,2025-09-08T09:00,3,80.0,morning,1
B0000026,C02136,DXB-DEI,2025-09-08T09:00,1,26.0,morning,1
B0000027,C00778,DXB-MOE,2025-09-08T10:00,2,44.0,morning,1
B0000028,C01337,DXB-DEI,2025-09-08T10:00,1,32.0,morning,1
B0000029,C00916,DXB-MOE,2025-09-08T14:00,2,50.0,midday,1
B0000030,C00435,DXB-MOE,2025-09-08T15:00,1,24.0,midday,1
B0000031,C02129,DXB-MOE,2025-09-08T17:00,2,64.0,evening,1
B0000032,C02372,DXB-MOE,2025-09-08T17:00,1,24.0,evening,1
B0000033,C02086,DXB-MAR,2025-09-08T18:00,2,56.0,evening,1
B0000034,C00313,DXB-MOE,2025-09-08T19:00,1,32.0,evening,1
B0000035,C02151,DXB-DEI,2025-09-08T19:00,1,26.0,evening,1
B0000036,C01788,DXB-MOE,2025-09-08T20:00,1,26.0,evening,1
B0000037,C00278,DXB-MAR,2025-09-08T21:00,2,50.0,evening,1
B0000038,C00187,DXB-DTN,2025-09-09T07:00,1,24.0,morning,1
B0000039,C00262,DXB-MAR,2025-09-09T07:00,3,90.0,morning,1
B0000040,C02010,DXB-DEI,2025-09-09T07:00,2,50.0,morning,1
B0000041,C01191,DXB-DEI,2025-09-09T08:00,1,32.0,morning,1
B0000042,C00108,DXB-DTN,2025-09-09T09:00,1,24.0,morning,1
B0000043,C01050,DXB-MAR,2025-09-09T09:00,1,32.0,morning,1
B0000044,C00277,DXB-DEI,2025-09-09T09:00,1,26.0,morning,1
B0000045,C00142,DXB-DEI,2025-09-09T09:00,3,62.0,morning,1
B0000046,C01346,DXB-DTN,2025-09-09T16:00,2,64.0,midday,1
B0000047,C00415,DXB-MOE,2025-09-09T16:00,2,50.0,midday,1
B0000048,C00822,DXB-DTN,2025-09-09T17:00,1,18.0,evening,1
B0000049,C00572,DXB-MOE,2025-09-09T18:00,1,18.0,evening,1
B0000050,C01657,DXB-MOE,2025-09-09T19:00,3,82.0,evening,1
B0000051,C01865,DXB-MAR,2025-09-09T19:00,1,24.0,evening,1
B0000052,C01606,DXB-DTN,2025-09-09T20:00,1,18.0,evening,1
B0000053,C01109,DXB-MAR,2025-09-09T22:00,1,32.0,evening,1
B0000054,C00495,DXB-MAR,2025-09-10T08:00,1,32.0,morning,1
B0000055,C00862,DXB-DTN,2025-09-10T09:00,2,36.0,morning,1
B0000056,C00216,DXB-DTN,2025-09-10T09:00,3,68.0,morning,1
B0000057,C00358,DXB-DEI,2025-09-10T16:00,1,26.0,midday,1
B0000058,C01337,DXB-DEI,2025-09-10T16:00,1,26.0,midday,1
B0000059,C00802,DXB-DTN,2025-09-10T17:00,1,24.0,evening,1
B0000060,C00697,DXB-MAR,2025-09-10T17:00,2,58.0,evening,1
B0000061,C00647,DXB-DTN,2025-09-10T18:00,3,62.0,evening,1
B0000062,C02076,DXB-DTN,2025-09-10T18:00,1,26.0,evening,1
B0000063,C00495,DXB-MOE,2025-09-10T18:00,1,26.0,evening,1
B0000064,C01456,DXB-MAR,2025-09-10T18:00,1,26.0,evening,1
B0000065,C02269,DXB-DEI,2025-09-10T18:00,3,82.0,evening,1
B0000066,C00624,DXB-DTN,2025-09-10T19:00,1,26.0,evening,1
B0000067,C02210,DXB-MAR,2025-09-10T19:00,1,26.0,evening,1
B0000068,C01042,DXB-DTN,2025-09-10T20:00,2,42.0,evening,1
B0000069,C00041,DXB-MAR,2025-09-10T20:00,1,18.0,evening,1
B0000070,C01612,DXB-DTN,2025-09-10T22:00,2,42.0,evening,1
B0000071,C01040,DXB-MAR,2025-09-10T22:00,1,24.0,evening,1
B0000072,C01569,DXB-MAR,2025-09-10T23:00,3,74.0,evening,1
B0000073,C00037,DXB-MAR,2025-09-11T07:00,1,26.0,morning,1
B0000074,C00368,DXB-DEI,2025-09-11T07:00,1,24.0,morning,1
B0000075,C00805,DXB-DEI,2025-09-11T07:00,1,24.0,morning,1
B0000076,C00406,DXB-DTN,2025-09-11T08:00,2,58.0,morning,1
B0000077,C01587,DXB-MOE,2025-09-11T08:00,2,52.0,morning,1
B0000078,C01669,DXB-MAR,2025-09-11T08:00,1,18.0,morning,1
B0000079,C00987,DXB-DTN,2025-09-11T09:00,2,50.0,morning,1
B0000080,C02001,DXB-DTN,2025-09-11T09:00,1,32.0,morning,1
B0000081,C01623,DXB-MOE,2025-09-11T09:00,1,32.0,morning,1
B0000082,C01246,DXB-DTN,2025-09-11T11:00,3,66.0,midday,1
