date_local,weekday,is_weekend,is_public_holiday,holiday_name,holiday_kind,date_uncertainty_days,is_ramadan,ramadan_day,is_school_break,school_break_name,confidence,school_break_confidence
2024-08-08,3,0,0,,,0,0,,1,Summer break,observed,approximate
2024-08-09,4,0,0,,,0,0,,1,Summer break,observed,approximate
2024-08-10,5,1,0,,,0,0,,1,Summer break,observed,approximate
2024-08-11,6,1,0,,,0,0,,1,Summer break,observed,approximate
2024-08-12,0,0,0,,,0,0,,1,Summer break,observed,approximate
2024-08-13,1,0,0,,,0,0,,1,Summer break,observed,approximate
2024-08-14,2,0,0,,,0,0,,1,Summer break,observed,approximate
2024-08-15,3,0,0,,,0,0,,1,Summer break,observed,approximate
2024-08-16,4,0,0,,,0,0,,1,Summer break,observed,approximate
2024-08-17,5,1,0,,,0,0,,1,Summer break,observed,approximate
2024-08-18,6,1,0,,,0,0,,1,Summer break,observed,approximate
2024-08-19,0,0,0,,,0,0,,1,Summer break,observed,approximate
2024-08-20,1,0,0,,,0,0,,1,Summer break,observed,approximate
2024-08-21,2,0,0,,,0,0,,1,Summer break,observed,approximate
2024-08-22,3,0,0,,,0,0,,1,Summer break,observed,approximate
2024-08-23,4,0,0,,,0,0,,1,Summer break,observed,approximate
2024-08-24,5,1,0,,,0,0,,1,Summer break,observed,approximate
2024-08-25,6,1,0,,,0,0,,1,Summer break,observed,approximate
2024-08-26,0,0,0,,,0,0,,0,,observed,
2024-08-27,1,0,0,,,0,0,,0,,observed,
2024-08-28,2,0,0,,,0,0,,0,,observed,
2024-08-29,3,0,0,,,0,0,,0,,observed,
2024-08-30,4,0,0,,,0,0,,0,,observed,
2024-08-31,5,1,0,,,0,0,,0,,observed,
2024-09-01,6,1,0,,,0,0,,0,,observed,
2024-09-02,0,0,0,,,0,0,,0,,observed,
2024-09-03,1,0,0,,,0,0,,0,,observed,
2024-09-04,2,0,0,,,0,0,,0,,observed,
2024-09-05,3,0,0,,,0,0,,0,,observed,
2024-09-06,4,0,0,,,0,0,,0,,observed,
2024-09-07,5,1,0,,,0,0,,0,,observed,
2024-09-08,6,1,0,,,0,0,,0,,observed,
2024-09-09,0,0,0,,,0,0,,0,,observed,
2024-09-10,1,0,0,,,0,0,,0,,observed,
2024-09-11,2,0,0,,,0,0,,0,,observed,
2024-09-12,3,0,0,,,0,0,,0,,observed,
2024-09-13,4,0,0,,,0,0,,0,,observed,
2024-09-14,5,1,0,,,0,0,,0,,observed,
2024-09-15,6,1,1,Prophet Muhammad's birthday,islamic,1,0,,0,,calculated,
2024-09-16,0,0,0,,,0,0,,0,,observed,
2024-09-17,1,0,0,,,0,0,,0,,observed,
2024-09-18,2,0,0,,,0,0,,0,,observed,
2024-09-19,3,0,0,,,0,0,,0,,observed,
2024-09-20,4,0,0,,,0,0,,0,,observed,
2024-09-21,5,1,0,,,0,0,,0,,observed,
2024-09-22,6,1,0,,,0,0,,0,,observed,
2024-09-23,0,0,0,,,0,0,,0,,observed,
2024-09-24,1,0,0,,,0,0,,0,,observed,
2024-09-25,2,0,0,,,0,0,,0,,observed,
2024-09-26,3,0,0,,,0,0,,0,,observed,
2024-09-27,4,0,0,,,0,0,,0,,observed,
2024-09-28,5,1,0,,,0,0,,0,,observed,
